form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,paradigm_tag,variants_tag,overabundance_tag,source,page,language_id
ranglong137,mu,3.pl.2.sg.fut.neg,namu u noni,naΣ u noni,na+Σ+u+no+ni,n a Σ u n o n i,n a + Σ + u + n o + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong138,mu,3.pl.2.sg.fut.neg,namu noni,naΣ noni,na+Σ+no+ni,n a Σ n o n i,n a + Σ + n o + n i,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong139,mu,3.pl.2.pl.fut.neg,namu u noni,naΣ u noni,na+Σ+u+no+ni,n a Σ u n o n i,n a + Σ + u + n o + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong140,mu,3.pl.2.pl.fut.neg,namu noni,naΣ noni,na+Σ+no+ni,n a Σ n o n i,n a + Σ + n o + n i,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong141,mu,3.sg.3.sg.fut.neg,mu noni,Σ noni,Σ+no+ni,Σ n o n i,Σ + n o + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong142,mu,3.sg.3.pl.fut.neg,mu u noni,Σ u noni,Σ+u+no+ni,Σ u n o n i,Σ + u + n o + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong143,mu,3.sg.3.pl.fut.neg,mu noni,Σ noni,Σ+no+ni,Σ n o n i,Σ + n o + n i,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong144,mu,3.pl.3.sg.fut.neg,mu u noni,Σ u noni,Σ+u+no+ni,Σ u n o n i,Σ + u + n o + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong145,mu,3.pl.3.sg.fut.neg,mu noni,Σ noni,Σ+no+ni,Σ n o n i,Σ + n o + n i,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong146,mu,3.pl.3.pl.fut.neg,mu u noni,Σ u noni,Σ+u+no+ni,Σ u n o n i,Σ + u + n o + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong147,mu,3.pl.3.pl.fut.neg,mu noni,Σ noni,Σ+no+ni,Σ n o n i,Σ + n o + n i,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong148,se,1.sg.nfut.aff,kase,kaΣ,ka+Σ,k a Σ,k a + Σ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong149,se,1.pl.nfut.aff,nase,naΣ,na+Σ,n a Σ,n a + Σ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong150,mu,1.sg.2.sg.nfut.aff,kanamu,kanaΣ,ka+na+Σ,k a n a Σ,k a + n a + Σ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong151,mu,1.sg.2.pl.nfut.aff,kanamu u,kanaΣ u,ka+na+Σ+u,k a n a Σ u,k a + n a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong152,mu,1.sg.2.pl.nfut.aff,kanamu,kanaΣ,ka+na+Σ,k a n a Σ,k a + n a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong153,mu,1.pl.2.sg.nfut.aff,nanamu,nanaΣ,na+na+Σ,n a n a Σ,n a + n a + Σ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong154,mu,1.pl.2.pl.nfut.aff,nanamu u,nanaΣ u,na+na+Σ+u,n a n a Σ u,n a + n a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
